Country,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Afghanistan,87,48,3070,70,,53,,37,74,39,24,37,20,23,19,57,71,43,,81,121,975,,
Albania,1,0,0,0,2,0,1,,,,0,0,0,1,0,0,2,2,1,1,0,1,2,2
Algeria,2,0,,,,1,0,0,0,0,0,0,0,0,3,9,11,9,18,13,,,20,
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,1947,921,885,735,,340,,,305,330,360,543,953,490,675,601,790,1633,89,153,643,964,,
Anguilla,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,5,7,0,4,,,8,8,10,8,11,10,1,5,15,8,6,5,14,25,25,18,11,12
Armenia,0,0,0,2,,0,0,1,0,1,0,1,0,3,,,0,2,0,1,0,1,3,1
Aruba,0,0,0,,,0,,,,,,,,,,,,,,,,,,
Australia,4,1,3,7,3,3,4,7,3,3,4,7,3,2,3,4,3,,2,5,3,2,3,7
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,0,0,0,0,11,9,7,13,8,9,5,7,0,0,,6,3,2,2,2,1,0,1,3
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,,0,0,0
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0
Bangladesh,35,19,33,60,166,226,352,441,559,,508,614,644,710,791,943,1034,1235,1388,1897,715,1036,1221,1155
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,,0,,0,0,1
Belarus,0,0,1,1,0,,0,0,0,,0,0,0,2,1,0,0,0,1,2,2,4,2,1
Belgium,,,,,0,0,,,,,,0,0,0,2,2,1,1,3,2,1,1,3,
Belize,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Benin,74,63,58,41,252,111,,122,7,3,8,7,6,82,4,7,9,,12,17,25,,,288
Bermuda,0,1,0,0,0,0,0,,,,,,,,,,,,,0,,0,0,1
Bhutan,0,0,0,0,,0,0,1,0,4,0,0,3,0,23,7,,,1,,,,0,2
Bolivia (Plurinational State of),,0,0,0,0,0,5,0,0,0,0,0,1,0,9,13,9,10,15,29,16,29,3,8
Bosnia and Herzegovina,1,0,0,,,,0,0,0,,,0,0,2,0,0,1,4,0,0,0,0,0,0
Botswana,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
Brazil,219,206,160,174,211,,225,224,273,273,213,314,333,308,278,333,281,431,420,463,513,268,129,346
British Virgin Islands,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,0,1
Brunei Darussalam,2,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,,,0,1,0,,,0
Bulgaria,0,0,0,1,,,,4,0,0,1,2,4,2,,2,0,4,2,0,2,2,4,3
Burkina Faso,212,210,55,13,11,206,105,1,0,96,27,1,3,74,7,11,13,9,35,4,16,4,12,
Burundi,39,0,54,0,0,0,,,,3,1,1,2,2,11,,14,23,16,,40,71,,33
Cabo Verde,0,0,0,,0,1,0,,0,0,0,2,2,0,0,2,0,0,0,,2,1,1,2
Cambodia,4,7,6,7,14,14,,0,,18,13,15,,,27,324,242,806,68,1041,796,966,913,295
Cameroon,36,40,31,16,7,27,51,58,120,110,43,23,93,83,72,65,147,,129,154,,,,279
Canada,3,3,4,3,4,0,4,5,4,6,2,4,2,3,2,1,5,2,4,2,0,0,6,1
Cayman Islands,0,0,0,0,,0,0,,,,,,,,,,,,,,0,0,0,0
Central African Republic,2958,69,52,177,109,119,105,,96,24,68,74,49,20,15,25,68,,20,36,,,,37
Chad,315,451,,251,237,189,47,172,195,154,176,225,215,,146,163,100,,191,,,,,
Chile,8,7,4,8,7,3,8,11,8,7,10,6,12,9,10,8,3,7,8,10,10,6,11,5
China,,18,23,32,,,,,,426,492,,,,,1786,2112,,2761,,,,,
"China, Hong Kong SAR",2,0,1,0,0,0,1,,,,4,4,1,0,1,0,1,,,,3,,4,7
"China, Macao SAR",0,0,0,0,0,0,0,,,,0,0,0,,0,0,0,,0,0,0,,0,0
Colombia,25,39,34,21,27,38,37,45,48,59,31,50,37,71,40,45,65,63,72,,7,37,25,27
Comoros,3,2,0,0,3,5,0,0,0,1,0,,0,2,3,3,2,2,1,0,0,0,,
Congo,14,8,18,54,0,0,,0,,14,5,2,0,2,2,3,3,25,12,14,15,8,,
Cook Islands,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,0,0,0,0,0,0,0,0,,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1
Croatia,0,0,0,0,2,3,2,0,3,,1,1,2,4,9,1,5,4,3,8,12,8,14,18
Cuba,0,0,0,0,0,0,2,0,1,1,2,3,1,1,3,3,0,3,0,0,3,0,2,1
Cyprus,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,,0
Czechia,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
Côte d'Ivoire,646,630,692,528,70,368,138,3,9,12,15,9,,,8,15,31,,2,,12,20,,
Democratic People's Republic of Korea,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Democratic Republic of the Congo,474,121,514,782,807,792,939,80,330,201,,1296,943,1038,1368,1252,1153,802,1524,1515,574,4763,1369,77
Denmark,1,0,1,1,0,2,2,,,,1,0,0,0,0,1,3,2,0,1,0,0,1,1
Djibouti,1,0,0,,,0,,,,,,,,0,0,0,0,1,0,0,0,1,0,0
Dominica,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,,0,,1,0,0
Dominican Republic,33,30,36,24,39,44,46,46,37,45,55,40,45,50,59,66,64,69,54,49,53,58,37,25
Ecuador,5,10,,3,14,59,60,52,49,2,27,1,2,2,5,15,15,47,16,,7,22,36,28
Egypt,1,1,2,2,,,,,,8,9,,264,,11,189,34,60,,,523,673,732,597
El Salvador,8,4,1,0,4,4,0,2,6,6,4,7,9,2,10,1,6,5,7,7,6,7,7,13
Equatorial Guinea,5,0,2,4,1,6,,0,1,0,0,0,3,0,2,4,1,1,0,2,1,0,2,
Eritrea,16,0,0,0,0,0,0,1,7,,0,19,17,16,49,8,,1,6,15,17,10,9,11
Estonia,1,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,1
Eswatini,0,0,0,0,0,0,0,1,0,0,0,0,1,1,,0,0,1,0,0,0,0,,0
Ethiopia,20,22,33,45,107,14,,18,0,,16,,33,75,50,66,62,,57,,,,,
Fiji,4,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,2,
Finland,0,0,,0,0,0,0,,0,,,,,,,,,,,,,,,
France,2,4,5,3,,,4,4,,,10,,9,14,8,8,8,16,,26,26,17,,26
French Polynesia,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,,,0,
Gabon,4,8,1,1,4,0,,,,,0,2,,3,5,6,,3,0,,,3,14,
Gambia,0,0,0,,1,3,1,0,0,0,0,0,2,0,0,0,0,0,6,3,3,3,0,2
Georgia,3,5,0,1,2,7,5,5,4,7,2,6,5,7,3,4,7,3,2,7,7,13,8,6
Germany,,,,,,,,,,,,,,,,,,,,,,,,8
Ghana,682,5,,0,20,270,538,1214,0,1,1,456,,79,256,69,1027,46,44,,85,213,233,219
Greece,2,3,2,2,5,4,2,3,6,2,1,7,11,5,2,7,10,,7,5,,3,4,16
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0
Guam,0,,,,0,,0,,,,0,0,0,0,0,0,0,,0,0,0,,0,0
Guatemala,0,0,0,0,5,0,3,0,0,2,2,0,2,2,4,2,3,8,6,3,5,3,7,11
Guinea,127,85,48,63,107,326,103,113,,75,51,,64,,54,28,27,161,166,,,518,332,245
Guinea-Bissau,0,5,1,3,,0,0,0,0,0,0,0,0,1,5,11,8,14,,19,28,24,49,
Guyana,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,1010
Haiti,78,,90,66,92,3,3,,13,3,15,0,0,2,3,16,92,53,119,33,4,43,,
Honduras,9,16,12,10,15,14,27,14,17,8,12,17,14,16,21,12,13,18,19,13,23,17,17,9
Hungary,1,1,2,3,5,1,0,5,3,2,2,5,4,0,6,4,4,7,3,1,4,5,8,10
Iceland,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
India,62,65,1240,1361,7071,7000,4946,3781,2268,5017,2814,2404,2843,1756,2126,2959,7491,2815,2981,3883,4020,12197,5764,8997
Indonesia,2510,21,11,4,391,,506,522,,1032,225,106,210,147,231,183,141,318,1907,715,1759,171,,466
Iran (Islamic Republic of),10,12,2,0,0,1,5,3,11,6,10,13,18,14,8,10,11,11,8,11,9,16,22,27
Iraq,26,0,0,10,23,14,19,,6,31,34,34,39,25,34,18,17,9,21,17,,,,
Ireland,0,0,0,0,0,0,1,0,1,1,2,1,0,0,0,2,1,0,0,1,0,0,3,
Israel,,0,1,0,,,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1
Italy,0,21,27,12,,,33,,47,,,64,58,57,62,,22,,0,,70,67,,98
Jamaica,0,2,0,0,0,0,1,2,1,2,1,4,1,3,6,1,10,9,12,11,2,3,9,5
Japan,,,93,105,126,133,125,129,120,126,127,116,111,104,113,123,,117,,69,69,80,91,90
Jordan,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,1,2,2,1,5,3,4,3
Kazakhstan,0,,,0,1,6,3,2,2,1,1,1,3,0,3,2,4,2,5,2,2,3,8,8
Kenya,4463,19,0,3260,0,0,,2776,32,36,1,2,,7,9,30,52,,56,,,95,,1278
Kiribati,0,,,,0,0,0,,,0,0,0,0,0,0,0,0,,0,,,0,0,0
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,0,2,0,,,,,,,,0,0,0,0,,,,,0,1,,,,0
Kyrgyzstan,0,0,0,0,,,,,,,0,0,0,0,0,0,,,0,2,,1,0,
Lao People's Democratic Republic,14,30,9,20,5,29,11,9,21,,34,36,24,14,15,12,17,17,21,29,35,19,35,39
Latvia,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1,0,0,1,,,1,2
Lebanon,7,,,,0,2,1,2,3,,3,2,0,2,3,2,4,2,3,2,1,1,1,2
Lesotho,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,13,0,0,
Liberia,53,12,46,1,39,14,22,6,2,0,8,12,3,4,4,8,13,,13,1,,,142,
Libya,,0,,,,0,,,,,,0,,,0,0,0,1,2,3,,4,3,
Lithuania,3,0,0,0,1,1,3,2,2,1,2,2,2,2,0,0,1,3,4,1,4,1,1,0
Luxembourg,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,,0
Madagascar,104,118,67,111,90,42,61,136,200,131,556,490,728,6,212,227,10,,63,29,68,30,76,54
Malawi,7,5,0,0,2,9,3,2,2,1,7,1,8,4,7,5,7,6,6,,7,,15,12
Malaysia,43,33,33,30,64,57,41,23,20,22,32,34,11,28,19,29,36,28,,33,18,6,27,40
Maldives,0,0,0,,,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,,,0,
Mali,10,3,,8,17,10,7,8,19,61,37,108,,86,73,11,117,17,20,25,,109,101,168
Malta,0,0,0,0,,0,1,0,0,0,,,0,0,0,0,0,,0,0,1,2,1,1
Marshall Islands,0,0,,,0,,,,,,,0,0,0,0,,0,0,0,0,0,1,0,0
Mauritania,126,0,0,0,0,0,3,2,2,6,4,0,,1,1,2,0,0,,,,,,
Mauritius,,,,1,,,0,,,0,0,0,1,0,1,0,1,1,0,1,,,1,0
Mexico,27,29,21,15,35,23,27,35,27,26,20,28,23,43,39,45,45,54,71,68,82,61,101,103
Micronesia (Federated States of),0,0,,0,0,0,0,0,0,0,,,,,0,,0,0,0,0,2,,0,0
Monaco,0,,0,,,,0,,,,,1,,,,,,,,,0,0,,
Mongolia,0,,,,0,,,0,0,0,0,0,0,0,3,1,2,0,0,0,1,2,2,3
Montenegro,0,0,0,0,,,,0,,,0,0,1,0,0,0,0,0,,,,,,
Montserrat,0,0,0,,0,0,0,,,,,,,,,,,,,,,,0,0
Morocco,,,,,,26,,,,,23,69,16,20,41,27,32,32,,19,5,18,18,7
Mozambique,126,105,107,155,,160,0,,281,,59,110,60,,41,11,17,18,26,30,49,25,61,65
Myanmar,8,14,8,17,58,,61,194,,73,73,75,178,96,229,147,259,224,186,167,260,257,,312
Namibia,3,0,0,0,5,3,3,3,0,4,2,3,10,13,7,11,15,4,15,15,14,10,15,148
Nauru,,,,,0,,,,,,,,0,0,0,0,0,0,0,1,,0,0,0
Nepal,0,768,927,336,546,485,880,766,888,883,377,359,193,547,276,308,155,240,112,104,114,241,440,305
Netherlands (Kingdom of the),5,2,0,2,0,1,1,1,0,0,1,1,5,,1,,,,,,4,,,
New Caledonia,0,0,,,,0,,,,,0,0,0,0,0,0,0,,0,,0,,1,0
New Zealand,,1,1,0,0,0,0,1,1,0,1,2,0,6,1,,1,,1,1,2,0,0,0
Nicaragua,0,0,0,0,0,3,1,1,3,1,1,1,0,1,0,2,4,6,8,5,5,8,10,9
Niger,34,57,25,38,41,34,36,32,24,45,71,75,131,146,157,136,194,98,110,176,221,204,275,286
Nigeria,60,56,39,55,138,131,187,34,53,208,556,112,114,199,,721,163,1,667,,,,3,483,3,587,1,643
Niue,,,,,0,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0
North Macedonia,0,0,0,0,,,0,,0,0,0,2,0,1,0,0,0,1,2,1,0,1,0,0
Northern Mariana Islands,0,,,,,,,,,,,,0,0,0,0,0,,0,0,0,,,0
Norway,0,0,0,0,0,3,,0,2,1,0,1,0,0,1,2,,0,0,0,1,0,1,0
"occupied Palestinian territory, including east Jerusalem",1,0,,,,0,0,,,,,,,0,,,,,,,,,,9
Oman,0,0,0,0,0,1,0,0,0,2,1,1,2,2,2,2,2,2,1,3,3,4,3,5
Pakistan,407,509,,504,509,0,478,,667,,898,320,516,559,816,984,743,610,697,649,890,1016,1184,1465
Palau,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0
Panama,1,1,2,0,1,2,0,1,0,0,0,10,1,1,2,5,2,3,1,2,1,2,2,4
Papua New Guinea,5,17,6,4,29,0,0,0,0,0,27,32,56,32,125,,,58,50,50,,,,138
Paraguay,2,3,2,4,5,5,10,4,3,8,6,5,10,8,12,14,10,11,17,12,22,13,15,13
Peru,19,22,20,19,23,24,24,25,22,21,35,17,38,47,19,42,55,28,44,52,58,49,33,57
Philippines,1324,817,582,620,953,943,1057,1082,880,839,1069,,1537,1140,1022,813,1261,1232,922,1293,1151,1165,1479,1135
Poland,13,5,6,2,,8,11,12,,,14,19,,16,19,,19,22,15,25,30,20,21,14
Portugal,1,0,1,0,0,2,0,1,0,2,1,3,0,3,6,1,9,7,8,9,6,11,,15
Qatar,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,1,0,0,0
Republic of Korea,24,23,22,34,31,31,34,24,22,26,22,17,19,14,17,14,,10,11,11,8,,7,6
Republic of Moldova,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1
Romania,5,,2,3,,6,7,14,7,3,6,7,20,9,9,11,12,10,8,11,13,21,23,14
Russian Federation,8,11,8,8,13,11,13,18,13,8,11,21,8,13,10,11,15,15,29,35,25,31,42,33
Rwanda,2,7,2,0,1,2,,2,6,0,0,0,0,0,0,1,1,2,12,13,93,18,27,10
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,0,1,0,1,0
Saint Vincent and the Grenadines,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Samoa,0,0,,,,0,0,,,,,0,0,0,0,,,1,0,0,0,,,
San Marino,0,0,0,0,0,0,0,0,,,,0,0,0,0,,0,0,0,0,0,,,0
Sao Tome and Principe,,,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,3,0,8,2,0,14,,3,1,13,27,21,26,10,15,17,27,26,32,48,43,39,35,
Senegal,0,164,0,0,82,6,251,,,4,78,118,144,21,16,252,41,,20,,,,45,0
Serbia,1,1,1,0,,0,2,4,4,0,2,3,6,2,7,5,11,7,15,13,8,11,14,24
Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sierra Leone,65,79,67,7,78,971,43,6,11,,9,,112,,12,67,8,15,10,,,,,36
Singapore,,,,,,,0,,,,0,0,0,0,0,0,0,0,,0,0,,,0
Sint Maarten (Dutch part),,,,,,0,0,,,,,,,,,,,,,,,,,
Slovakia,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0
Slovenia,0,4,0,2,1,2,0,2,3,6,1,1,2,0,0,1,1,4,2,2,3,5,2,
Solomon Islands,1,,,0,0,0,0,,,,0,0,0,0,0,0,0,4,45,0,0,0,0,
Somalia,,,,,,,,,,,321,,233,74,53,,31,,,,,,,
South Africa,13,9,4,3,4,9,1,,,2,0,1,,,1,1,3,10,3,8,18,38,13,11
South Sudan,127,0,1,3,0,0,0,,4,0,32,,,,,,,,,,,,,
Spain,0,4,1,0,2,3,3,10,3,,13,12,9,9,7,15,11,18,18,16,24,20,,27
Sri Lanka,6,5,4,3,,,15,5,15,9,19,8,14,11,18,29,44,37,20,32,30,34,75,97
Sudan,,,,34,,,,,,139,88,137,174,273,155,173,187,115,94,,,121,,
Suriname,0,0,0,1,0,,,0,1,0,0,1,1,1,1,1,2,2,1,0,1,5,0,2
Sweden,4,0,1,0,0,3,2,3,0,2,3,0,3,0,3,0,0,1,1,0,0,0,1,0
Switzerland,1,,0,,,,,,,,,,,1,4,1,1,2,0,0,3,0,0,
Syrian Arab Republic,5,4,3,3,8,1,1,3,2,,1,13,3,6,5,8,6,3,5,,15,20,23,17
Tajikistan,,,0,0,,,,,,,0,0,3,4,0,2,1,,,,0,0,0,
Thailand,0,0,,,45,,68,61,76,81,126,105,110,126,126,102,136,146,172,210,214,224,222,220
Timor-Leste,0,2,,2,0,1,1,0,0,0,11,10,3,9,9,9,6,,6,0,,0,,
Togo,10,12,4,24,13,14,16,11,12,18,26,20,28,28,17,5,18,,10,,28,42,,
Tokelau,,,,,0,,,,,,,,0,0,0,,,,0,0,0,,0,0
Tonga,0,0,0,,,0,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Trinidad and Tobago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3
Tunisia,,1,0,0,3,,1,4,4,5,8,2,1,3,2,5,6,5,2,2,2,5,7,5
Turkmenistan,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,,10,0,9,18,,25,16,8,13,15,11,24,25,12,19,19,28,51,37,58,48,56,38
Uganda,3489,67,57,1329,1360,1049,102,985,1804,1358,2928,1019,623,1822,1304,1646,1007,1166,107,,,,,710
Ukraine,,0,0,0,0,0,,10,,,,23,12,13,,17,28,24,,20,34,36,34,36
United Arab Emirates,0,1,0,0,0,0,,,,0,,3,,4,,3,,,1,9,5,4,6,6
United Kingdom of Great Britain and Northern Ireland,0,4,11,8,4,7,5,4,6,9,8,6,3,9,6,5,4,3,10,20,14,7,7,2
United Republic of Tanzania,55,74,62,2,0,3,,,,2,,,,5,6,6,18,18,,,,,,
United States of America,,27,17,26,0,0,33,34,30,25,26,37,37,26,18,19,28,41,27,34,20,25,38,35
Uruguay,2,0,0,0,1,0,0,0,0,1,1,0,0,3,1,2,0,2,1,1,1,0,1,0
Uzbekistan,0,1,,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,2,1,0,0,0
Vanuatu,0,1,0,0,0,,,,,,,,0,0,0,0,0,0,0,,3,2,1,0
Venezuela (Bolivarian Republic of),,5,6,3,0,11,16,23,14,12,9,14,26,13,17,0,,38,33,35,34,25,38,27
Viet Nam,294,185,207,361,400,401,433,258,360,244,306,253,186,196,247,221,116,57,85,72,119,151,177,267
Wallis and Futuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,122,132,130,91,142,116,0,,117,,66,115,38,93,30,46,48,101,46,,,,,
Zambia,3,50,,26,,,26,0,0,,0,0,0,0,0,16,1,47,53,78,41,157,62,193
Zimbabwe,0,0,0,1,0,0,3,0,7,0,4,6,7,1,4,1,5,26,9,95,4,59,21,28