Country,Availability
Afghanistan,No
Afghanistan,No
Albania,Yes
Albania,Yes
Albania,Yes
Algeria,Yes
Andorra,Yes
Andorra,Yes
Andorra,Yes
Andorra,Yes
Angola,No
Angola,No
Angola,No
Angola,No
Anguilla,Yes
Anguilla,Yes
Anguilla,Yes
Anguilla,Yes
Antigua and Barbuda,Yes
Antigua and Barbuda,Yes
Antigua and Barbuda,Yes
Antigua and Barbuda,Yes
Argentina,Yes
Argentina,Yes
Argentina,Yes
Argentina,Yes
Armenia,Yes
Armenia,Yes
Armenia,Yes
Armenia,Yes
Aruba,Yes
Aruba,Yes
Australia,Yes
Australia,Yes
Australia,Yes
Australia,Yes
Austria,Yes
Austria,Yes
Austria,Yes
Austria,Yes
Azerbaijan,Yes
Azerbaijan,Yes
Azerbaijan,Yes
Azerbaijan,Yes
Bahamas,Yes
Bahamas,Yes
Bahamas,Yes
Bahamas,Yes
Bahrain,Yes
Bahrain,Yes
Bahrain,Yes
Bahrain,Yes
Barbados,Yes
Barbados,Yes
Barbados,Yes
Barbados,Yes
Barbados,Yes
Belarus,Yes
Belarus,Yes
Belarus,Yes
Belarus,Yes
Belgium,Yes
Belgium,Yes
Belgium,Yes
Belgium,Yes
Belize,No
Belize,Yes
Belize,Yes
Belize,Yes
Benin,No
Benin,No
Benin,No
Bermuda,Yes
Bermuda,Yes
Bermuda,Yes
Bermuda,Yes
Bhutan,Yes
Bhutan,Yes
Bhutan,Yes
Bolivia,Yes
Bolivia,Yes
Bolivia,Yes
Bolivia,Yes
Bosnia and Herzegovina,Yes
Bosnia and Herzegovina,Yes
Bosnia and Herzegovina,Yes
Botswana,Yes
Botswana,Yes
Botswana,Yes
Botswana,Yes
Brazil,Yes
Brazil,Yes
Brazil,Yes
British Virgin Islands,Yes
British Virgin Islands,Yes
British Virgin Islands,Yes
British Virgin Islands,Yes
Brunei,Yes
Brunei,Yes
Brunei,Yes
Brunei,Yes
Bulgaria,Yes
Bulgaria,Yes
Bulgaria,Yes
Bulgaria,Yes
Burkina Faso,Yes
Burkina Faso,No
Burkina Faso,No
Burundi,No
Burundi,No
Burundi,No
Cambodia,No
Cambodia,Yes
Cameroon,Yes
Cameroon,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Canada,Yes
Cape Verde,No
Cayman Islands,Yes
Cayman Islands,Yes
Cayman Islands,Yes
Central African Rep.,No
Central African Republic,No
Chad,Yes
Chile,Yes
Chile,Yes
Chile,Yes
Chile,Yes
China,Yes
China,Yes
China,Yes
Colombia,Yes
Colombia,Yes
Colombia,Yes
Colombia,Yes
Congo,No
Cook Islands,No
Costa Rica,Yes
Costa Rica,Yes
Costa Rica,Yes
Cote d'Ivoire,Yes
Cote d'Ivoire,Yes
Cote d'Ivoire,Yes
Croatia,Yes
Croatia,Yes
Croatia,Yes
Croatia,Yes
Cuba,Yes
Cuba,Yes
Cuba,Yes
Cuba,Yes
Curacao,Yes
Curacao,Yes
Cyprus,Yes
Cyprus,Yes
Cyprus,Yes
Cyprus,Yes
Czechia,Yes
Czechia,Yes
Czechia,Yes
Czechia,Yes
Dem. Rep. Congo,No
Democratic Republic of Congo,No
Denmark,Yes
Denmark,Yes
Denmark,Yes
Denmark,Yes
Djibouti,No
Djibouti,No
Dominica,Yes
Dominica,Yes
Dominica,No
Dominica,No
Dominican Republic,Yes
Dominican Republic,Yes
Dominican Republic,Yes
Dominican Republic,Yes
East Timor,No
East Timor,Yes
Ecuador,Yes
Ecuador,Yes
Ecuador,Yes
Ecuador,Yes
Egypt,Yes
Egypt,Yes
Egypt,Yes
Egypt,Yes
El Salvador,Yes
El Salvador,Yes
El Salvador,Yes
El Salvador,Yes
Equatorial Guinea,No
Equatorial Guinea,No
Estonia,Yes
Estonia,Yes
Estonia,Yes
Estonia,Yes
Eswatini,No
Eswatini,No
Eswatini,No
Eswatini,No
Ethiopia,No
Fiji,Yes
Finland,Yes
Finland,Yes
Finland,Yes
Finland,Yes
France,Yes
France,Yes
France,Yes
French Polynesia,Yes
French Polynesia,Yes
French Polynesia,Yes
French Polynesia,Yes
Gabon,Yes
Gabon,Yes
Gambia,No
Georgia,Yes
Georgia,Yes
Georgia,Yes
Georgia,Yes
Germany,Yes
Germany,Yes
Germany,Yes
Ghana,Yes
Ghana,No
Ghana,No
Ghana,No
Greece,Yes
Greece,Yes
Greece,Yes
Greece,Yes
Grenada,Yes
Grenada,Yes
Grenada,Yes
Guam,Yes
Guam,Yes
Guam,Yes
Guatemala,Yes
Guatemala,Yes
Guatemala,Yes
Guatemala,Yes
Guinea,No
Guinea,No
Guinea-Bissau,No
Guyana,No
Guyana,No
Guyana,No
Guyana,No
Haiti,No
Haiti,Yes
Haiti,Yes
Honduras,Yes
Honduras,Yes
Honduras,Yes
Honduras,Yes
Hong Kong,Yes
Hong Kong,Yes
Hong Kong,Yes
Hong Kong,Yes
Hungary,Yes
Hungary,Yes
Hungary,Yes
Hungary,Yes
Iceland,Yes
Iceland,Yes
Iceland,Yes
Iceland,Yes
India,No
Indonesia,Yes
Indonesia,Yes
Iran,Yes
Iran,Yes
Iran,Yes
Iran,Yes
Iraq,Yes
Iraq,Yes
Iraq,Yes
Iraq,Yes
Ireland,Yes
Ireland,Yes
Ireland,Yes
Ireland,Yes
Israel,Yes
Israel,Yes
Israel,Yes
Italy,Yes
Italy,Yes
Italy,Yes
Jamaica,Yes
Jamaica,Yes
Jamaica,Yes
Jamaica,Yes
Japan,Yes
Japan,Yes
Japan,Yes
Japan,Yes
Jordan,Yes
Jordan,Yes
Jordan,Yes
Kazakhstan,Yes
Kazakhstan,Yes
Kazakhstan,Yes
Kazakhstan,Yes
Kenya,Yes
Kenya,Yes
Kenya,Yes
Kingdom of the Netherlands,Yes
Kingdom of the Netherlands,Yes
Kingdom of the Netherlands,Yes
Kingdom of the Netherlands,Yes
Kiribati,No
Kiribati,No
Kiribati,No
Kosovo,Yes
Kuwait,Yes
Kuwait,Yes
Kyrgyzstan,Yes
Kyrgyzstan,Yes
Kyrgyzstan,Yes
Laos,Yes
Laos,Yes
Laos,Yes
Latvia,Yes
Latvia,Yes
Latvia,Yes
Latvia,Yes
Lebanon,Yes
Lesotho,No
Liberia,No
Liberia,No
Libya,Yes
Libya,Yes
Lithuania,Yes
Lithuania,Yes
Lithuania,Yes
Lithuania,Yes
Luxembourg,Yes
Luxembourg,Yes
Macao,Yes
Macao,Yes
Macao,Yes
Macao,Yes
Madagascar,No
Malaysia,Yes
Malaysia,Yes
Malaysia,Yes
Malaysia,Yes
Maldives,Yes
Maldives,Yes
Maldives,Yes
Maldives,Yes
Mali,Yes
Malta,Yes
Malta,Yes
Malta,Yes
Malta,Yes
Malta,Yes
Marshall Islands,Yes
Marshall Islands,Yes
Marshall Islands,Yes
Mauritania,No
Mauritania,No
Mauritius,Yes
Mauritius,Yes
Mauritius,Yes
Mauritius,Yes
Mexico,Yes
Mexico,Yes
Mexico,Yes
Mexico,Yes
Micronesia (country),Yes
Micronesia (country),Yes
Micronesia (country),Yes
Moldova,Yes
Moldova,Yes
Moldova,Yes
Moldova,Yes
Monaco,Yes
Monaco,Yes
Monaco,Yes
Monaco,Yes
Mongolia,Yes
Mongolia,Yes
Mongolia,Yes
Mongolia,Yes
Montenegro,Yes
Montenegro,Yes
Montenegro,Yes
Montserrat,Yes
Montserrat,Yes
Montserrat,Yes
Morocco,Yes
Morocco,Yes
Myanmar,Yes
Myanmar,Yes
Myanmar,Yes
Namibia,No
Namibia,Yes
Namibia,Yes
Namibia,Yes
Nauru,No
Nauru,No
Nepal,No
Nepal,No
New Caledonia,Yes
New Zealand,Yes
New Zealand,Yes
New Zealand,Yes
New Zealand,Yes
Nicaragua,Yes
Nicaragua,Yes
Nicaragua,Yes
Nicaragua,Yes
Niger,No
Niger,No
Niger,No
Nigeria,No
Nigeria,No
Niue,Yes
Niue,Yes
Niue,Yes
North Korea,No
North Korea,No
North Korea,No
North Macedonia,Yes
North Macedonia,Yes
North Macedonia,Yes
Northern Mariana Islands,Yes
Northern Mariana Islands,Yes
Northern Mariana Islands,Yes
Northern Mariana Islands,Yes
Norway,Yes
Norway,Yes
Norway,Yes
Norway,Yes
Oman,Yes
Oman,Yes
Oman,Yes
Oman,Yes
Palau,Yes
Palau,Yes
Palau,Yes
Palau,Yes
Palestine,Yes
Palestine,Yes
Palestine,Yes
Panama,Yes
Panama,Yes
Panama,Yes
Panama,Yes
Papua New Guinea,No
Papua New Guinea,No
Papua New Guinea,No
Paraguay,Yes
Paraguay,Yes
Paraguay,Yes
Paraguay,Yes
Peru,Yes
Peru,Yes
Peru,Yes
Peru,Yes
Philippines,No
Philippines,Yes
Philippines,Yes
Philippines,Yes
Poland,Yes
Poland,Yes
Poland,Yes
Portugal,Yes
Portugal,Yes
Portugal,Yes
Portugal,Yes
Qatar,Yes
Qatar,Yes
Qatar,Yes
Romania,Yes
Romania,Yes
Romania,Yes
Romania,Yes
Russia,Yes
Russia,Yes
Russia,Yes
Russia,Yes
Rwanda,No
Rwanda,No
Saint Kitts and Nevis,Yes
Saint Kitts and Nevis,Yes
Saint Kitts and Nevis,Yes
Saint Kitts and Nevis,Yes
Saint Lucia,Yes
Saint Lucia,Yes
Saint Lucia,Yes
Saint Vincent and the Grenadines,No
Saint Vincent and the Grenadines,No
Saint Vincent and the Grenadines,No
Saint Vincent and the Grenadines,No
Samoa,No
Samoa,No
Samoa,No
Samoa,No
San Marino,Yes
San Marino,Yes
San Marino,Yes
San Marino,Yes
Sao Tome and Principe,No
Saudi Arabia,Yes
Saudi Arabia,Yes
Saudi Arabia,Yes
Saudi Arabia,Yes
Senegal,Yes
Senegal,Yes
Senegal,Yes
Serbia,Yes
Serbia,Yes
Serbia,Yes
Seychelles,No
Seychelles,No
Sierra Leone,No
Sierra Leone,No
Singapore,Yes
Sint Maarten (Dutch part),No
Slovakia,Yes
Slovakia,Yes
Slovakia,Yes
Slovakia,Yes
Slovenia,Yes
Slovenia,Yes
Slovenia,Yes
Slovenia,Yes
Solomon Islands,No
Solomon Islands,No
Solomon Islands,No
Somalia,No
Somalia,No
South Africa,Yes
South Africa,Yes
South Africa,Yes
South Korea,Yes
South Korea,Yes
South Korea,Yes
South Korea,Yes
Spain,Yes
Spain,Yes
Spain,Yes
Spain,Yes
Sri Lanka,Yes
Sri Lanka,No
Sri Lanka,No
Sri Lanka,Yes
Suriname,Yes
Suriname,Yes
Suriname,Yes
Suriname,Yes
Sweden,Yes
Sweden,Yes
Sweden,Yes
Sweden,Yes
Switzerland,Yes
Switzerland,Yes
Switzerland,Yes
Switzerland,Yes
Syria,No
Syria,Yes
Syria,Yes
Syria,Yes
Tajikistan,No
Tajikistan,No
Tajikistan,No
Tajikistan,Yes
Tanzania,No
Thailand,Yes
Thailand,Yes
Thailand,Yes
Thailand,Yes
Togo,Yes
Togo,Yes
Togo,Yes
Togo,Yes
Tonga,No
Tonga,No
Tonga,Yes
Trinidad and Tobago,Yes
Trinidad and Tobago,Yes
Trinidad and Tobago,Yes
Trinidad and Tobago,Yes
Tunisia,Yes
Tunisia,Yes
Tunisia,Yes
Tunisia,Yes
Turkey,Yes
Turkey,Yes
Turkmenistan,Yes
Turkmenistan,Yes
Turkmenistan,Yes
Turkmenistan,Yes
Turks and Caicos Islands,Yes
Turks and Caicos Islands,Yes
Turks and Caicos Islands,Yes
Turks and Caicos Islands,Yes
Tuvalu,No
Tuvalu,No
Ukraine,Yes
Ukraine,Yes
Ukraine,Yes
Ukraine,Yes
United Arab Emirates,Yes
United Arab Emirates,Yes
United Arab Emirates,Yes
United Arab Emirates,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United States of America,Yes
United States of America,Yes
United States of America,Yes
Uruguay,Yes
Uruguay,Yes
Uruguay,Yes
Uruguay,Yes
Uzbekistan,Yes
Uzbekistan,Yes
Uzbekistan,Yes
Uzbekistan,Yes
Vanuatu,No
Vanuatu,No
Vanuatu,No
Vanuatu,No
Venezuela,No
Venezuela,No
Venezuela,Yes
Venezuela,Yes
Vietnam,Yes
Vietnam,Yes
Vietnam,Yes
Vietnam,Yes
Wallis and Futuna,Yes
Yemen,No
Yemen,No
Yemen,No
Yemen,No
Zambia,No
Zambia,No
Zambia,No
Zimbabwe,No
Zimbabwe,No
Zimbabwe,Yes